ts,source_gpkg,layer,polygon_uid,tile_id,predicted_class,decision,corrected_class,n_pixels,area_m2,co_occurring_classes
2026-06-07T19:53:24.621868+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1030::thresh_0.97::4,t1030,hcp,skip,,228,7557998.214,
2026-06-07T19:54:39.321644+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1393::thresh_0.97::94,t1393,hcp,reject,,86,2956127.943,
2026-06-07T19:55:02.003601+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1030::thresh_0.97::4,t1030,hcp,skip,,228,7557998.214,
2026-06-07T19:55:28.412231+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1393::thresh_0.97::94,t1393,hcp,reject,other,86,2956127.943,
2026-06-07T19:56:07.553142+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1028::thresh_0.97::0,t1028,hcp,reject,other,66,2158414.885,
2026-06-07T19:56:53.599462+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1030::thresh_0.97::3,t1030,hcp,skip,,65,2157033.966,
2026-06-07T19:58:53.417370+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1393::thresh_0.97::98,t1393,hcp,confirm,,61,2052136.816,
2026-06-07T19:59:28.118636+00:00,vector_mc13_v3_denoising/hcp.gpkg,thresh_0.97,t1033::thresh_0.97::635,t1033,hcp,confirm,,77684,2548677994.0,
2026-06-07T20:00:20.975484+00:00,vector_mc13_v3_denoising/hcp.gpkg,thresh_0.97,t1105::thresh_0.97::1520,t1105,hcp,confirm,,65179,2149646581.0,
2026-06-07T20:00:58.486739+00:00,vector_mc13_v3_denoising/hcp.gpkg,thresh_0.97,t1176::thresh_0.97::1823,t1176,hcp,confirm,,54750,1801431372.0,
2026-06-07T20:01:45.919640+00:00,vector_mc13_v3_denoising/hcp.gpkg,thresh_0.97,t1105::thresh_0.97::1454,t1105,hcp,skip,,54610,1791857393.0,
2026-06-07T20:04:03.555402+00:00,vector_mc13_v3_denoising/hcp.gpkg,thresh_0.97,t1105::thresh_0.97::1504,t1105,hcp,skip,,48168,1587459748.0,
2026-06-07T20:04:08.068289+00:00,vector_mc13_v3_denoising/hcp.gpkg,thresh_0.97,t1105::thresh_0.97::1504,t1105,hcp,skip,,48168,1587459748.0,
2026-06-07T20:04:14.715448+00:00,vector_mc13_v3_denoising/hcp.gpkg,thresh_0.97,t1105::thresh_0.97::1504,t1105,hcp,skip,,48168,1587459748.0,
2026-06-07T20:05:27.106223+00:00,vector_mc13_v3_denoising/hcp.gpkg,thresh_0.97,t1032::thresh_0.97::516,t1032,hcp,confirm,,36075,1187771959.0,
2026-06-07T20:08:23.019424+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1390::thresh_0.97::86,t1390,hcp,confirm,,81,2596876.082,
2026-06-07T20:26:17.670081+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1692,t1250,olivine,confirm,,127822,4211627162.0,
2026-06-07T20:29:23.194017+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1250::thresh_0.97::62,t1250,hcp,skip,,60,1967625.623,
2026-06-07T20:30:22.372734+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1322::thresh_0.97::2846,t1322,olivine,confirm,,63568,2121400436.0,
2026-06-07T20:31:25.111107+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1503,t1250,olivine,skip,,47828,1552548350.0,
2026-06-07T20:32:01.574262+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1552,t1250,olivine,confirm,,46452,1516255165.0,
2026-06-07T20:32:21.134249+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1695,t1250,olivine,skip,,45322,1500997763.0,
