tile,polygon,old_category,new_label,d2um
T0433,247,Type 2 olivine (High),olivine + hcp,0.0432807779478561
T0434,206,Type 2 olivine (High),olivine + hcp (moderate) ,0.0373202061644093
T0433,249,alteration + olivine (Low),olivine + hcp (Low),0.0367023449867388
T0433,251,Type 2 olivine (Low),olivine + hcp (Low),0.0344626656836919
T0434,204,alteration + olivine (Low),olivine + hcp (moderate),0.0326329553310265
T0578,12,Type 2 olivine (High),olivine + hcp (High),0.0307659675569829
T0685,2,olivine (High),olivine + hcp (High),0.0287096106604617
T0435,389,Type 2 olivine (High),olivine + hcp (High),0.0273410860430701
T0503,23,alteration + olivine (Low),olivine + hcp (moderate),0.0269845710030641
T0503,16,Type 2 olivine (Moderate),olivine + hcp (Moderate),0.0267195281286022
T0579,11,Type 1 olivine (High),olivine + hcp (moderate),0.0258939526626015
T0433,351,Type 2 olivine (High),olivine + hcp (High),0.0255251784996113
T0432,35,Type 2 olivine (High),olivine + hcp (High),0.0253723648439992
T0503,21,Type 1 olivine (High),olivine + hcp (low),0.0253144201781839
T0435,307,Type 2 olivine (High),olivine + hcp (High),0.0247863070093896
T0818,9,olivine (High),olivine + hcp (moderate),0.0245292238629093
T0432,26,alteration + olivine (Low),olivine + hcp + alteration (Low),0.0244547827676178
T0433,225,Type 2 olivine (Moderate),olivine + hcp (low),0.0242271196487492
T0435,111,Type 2 olivine (Moderate),olivine + hcp (Moderate),0.0239519921672767
T0431,14,Type 2 olivine (Moderate),olivine + hcp (Moderate),0.0237940140374842
T0435,387,Type 2 olivine (Low),olivine + hcp (moderate),0.0237835595396297
T0431,27,Type 2 olivine (High),olivine + hcp (moderate),0.0233745716862674
T0578,16,Type 2 olivine (Moderate),olivine (Moderate),0.0231770076794005
T0503,25,Type 1 olivine (High),olivine + hcp (moderate),0.0231722850823834
T0433,353,Type 2 olivine (High),olivine + hcp (High),0.0230650450589962
T0433,381,Type 2 olivine (Low),olivine + hcp (Low),0.0228514303788145
T0433,371,alteration + olivine (Low),olivine + hcp + alteration (Low),0.0227734655941053
T0503,27,Type 2 olivine (High),olivine + hcp (low),0.0224987122270043
T0503,17,Type 1 olivine (Moderate),olivine + hcp (Moderate),0.0224845537725981
T0503,9,Type 2 olivine (High),olivine + hcp (moderate),0.0224791288930866
T0432,4,Type 2 olivine (High),olivine + hcp (moderate),0.022445545062423
T0433,111,Type 1 olivine (High),olivine + hcp (High),0.0223879677978594
T0433,339,Type 2 olivine (High),olivine + hcp (High),0.0223176152920451
T0503,11,Type 1 olivine (High),olivine + hcp (moderate),0.0222933215574491
T0435,446,Type 1 olivine (Moderate),olivine + hcp (Moderate),0.0221359977990004
T0433,387,Type 1 olivine (Low),olivine + hcp (moderate),0.0218943886936794
T0433,108,Type 1 olivine (High),olivine + hcp (High),0.0218424488611163
T0435,271,Type 2 olivine (High),olivine + hcp (High),0.0216314275869061
T0503,3,alteration + olivine (Low),olivine + hcp (high),0.02154428060845
T0432,63,Type 2 olivine (High),olivine + hcp (High),0.0215432302600601
T0433,365,Type 1 olivine (High),olivine + hcp (moderate),0.0214576280420267
T0433,275,Type 2 olivine (High),olivine + hcp (High),0.0214561710052022
T0503,5,Type 1 olivine (High),olivine + hcp (moderate),0.021413006589307
