tile_id,lat,lon
t0101,-62.5,7.5
t0102,-62.5,17.5
t0103,-62.5,27.5
t0104,-62.5,37.5
t0105,-62.5,47.5
t0106,-62.5,57.5
t0107,-62.5,67.5
t0108,-62.5,77.5
t0109,-62.5,87.5
t0110,-62.5,97.5
t0111,-62.5,107.5
t0112,-62.5,117.5
t0113,-62.5,127.5
t0114,-62.5,137.5
t0115,-62.5,147.5
t0116,-62.5,157.5
t0117,-62.5,167.5
t0118,-62.5,177.5
t0119,-62.5,187.5
t0120,-62.5,197.5
t0121,-62.5,207.5
t0122,-62.5,217.5
t0123,-62.5,227.5
t0124,-62.5,237.5
t0125,-62.5,247.5
t0126,-62.5,257.5
t0127,-62.5,267.5
t0128,-62.5,277.5
t0129,-62.5,287.5
t0130,-62.5,297.5
t0131,-62.5,307.5
t0132,-62.5,317.5
t0133,-62.5,327.5
t0134,-62.5,337.5
t0135,-62.5,347.5
t0136,-62.5,357.5
t0137,-57.5,5.5
t0138,-57.5,12.5
t0139,-57.5,19.5
t0140,-57.5,25.5
t0141,-57.5,32.5
t0142,-57.5,39.5
t0143,-57.5,45.5
t0144,-57.5,52.5
t0145,-57.5,59.5
t0146,-57.5,65.5
t0147,-57.5,72.5
t0148,-57.5,79.5
t0149,-57.5,85.5
t0150,-57.5,92.5
t0151,-57.5,99.5
t0152,-57.5,105.5
t0153,-57.5,112.5
t0154,-57.5,119.5
t0155,-57.5,125.5
t0156,-57.5,132.5
t0157,-57.5,139.5
t0158,-57.5,145.5
t0159,-57.5,152.5
t0160,-57.5,159.5
t0161,-57.5,165.5
t0162,-57.5,172.5
t0163,-57.5,179.5
t0164,-57.5,185.5
t0165,-57.5,192.5
t0166,-57.5,199.5
t0167,-57.5,205.5
t0168,-57.5,212.5
t0169,-57.5,219.5
t0170,-57.5,225.5
t0171,-57.5,232.5
t0172,-57.5,239.5
t0173,-57.5,245.5
t0174,-57.5,252.5
t0175,-57.5,259.5
t0176,-57.5,265.5
t0177,-57.5,272.5
t0178,-57.5,279.5
t0179,-57.5,285.5
t0180,-57.5,292.5
t0181,-57.5,299.5
t0182,-57.5,305.5
t0183,-57.5,312.5
t0184,-57.5,319.5
t0185,-57.5,325.5
t0186,-57.5,332.5
t0187,-57.5,339.5
t0188,-57.5,345.5
t0189,-57.5,352.5
t0190,-57.5,359.5
t0191,-52.5,5.5
t0192,-52.5,12.5
t0193,-52.5,19.5
t0194,-52.5,25.5
t0195,-52.5,32.5
t0196,-52.5,39.5
t0197,-52.5,45.5
t0198,-52.5,52.5
t0199,-52.5,59.5
t0200,-52.5,65.5
t0201,-52.5,72.5
t0202,-52.5,79.5
t0203,-52.5,85.5
t0204,-52.5,92.5
t0205,-52.5,99.5
t0206,-52.5,105.5
t0207,-52.5,112.5
t0208,-52.5,119.5
t0209,-52.5,125.5
t0210,-52.5,132.5
t0211,-52.5,139.5
t0212,-52.5,145.5
t0213,-52.5,152.5
t0214,-52.5,159.5
t0215,-52.5,165.5
t0216,-52.5,172.5
t0217,-52.5,179.5
t0218,-52.5,185.5
t0219,-52.5,192.5
t0220,-52.5,199.5
t0221,-52.5,205.5
t0222,-52.5,212.5
t0223,-52.5,219.5
t0224,-52.5,225.5
t0225,-52.5,232.5
t0226,-52.5,239.5
t0227,-52.5,245.5
t0228,-52.5,252.5
t0229,-52.5,259.5
t0230,-52.5,265.5
t0231,-52.5,272.5
t0232,-52.5,279.5
t0233,-52.5,285.5
t0234,-52.5,292.5
t0235,-52.5,299.5
t0236,-52.5,305.5
t0237,-52.5,312.5
t0238,-52.5,319.5
t0239,-52.5,325.5
t0240,-52.5,332.5
t0241,-52.5,339.5
t0242,-52.5,345.5
t0243,-52.5,352.5
t0244,-52.5,359.5
t0245,-47.5,5.5
t0246,-47.5,12.5
t0247,-47.5,19.5
t0248,-47.5,25.5
t0249,-47.5,32.5
t0250,-47.5,39.5
t0251,-47.5,45.5
t0252,-47.5,52.5
t0253,-47.5,59.5
t0254,-47.5,65.5
t0255,-47.5,72.5
t0256,-47.5,79.5
t0257,-47.5,85.5
t0258,-47.5,92.5
t0259,-47.5,99.5
t0260,-47.5,105.5
t0261,-47.5,112.5
t0262,-47.5,119.5
t0263,-47.5,125.5
t0264,-47.5,132.5
t0265,-47.5,139.5
t0266,-47.5,145.5
t0267,-47.5,152.5
t0268,-47.5,159.5
t0269,-47.5,165.5
t0270,-47.5,172.5
t0271,-47.5,179.5
t0272,-47.5,185.5
t0273,-47.5,192.5
t0274,-47.5,199.5
t0275,-47.5,205.5
t0276,-47.5,212.5
t0277,-47.5,219.5
t0278,-47.5,225.5
t0279,-47.5,232.5
t0280,-47.5,239.5
t0281,-47.5,245.5
t0282,-47.5,252.5
t0283,-47.5,259.5
t0284,-47.5,265.5
t0285,-47.5,272.5
t0286,-47.5,279.5
t0287,-47.5,285.5
t0288,-47.5,292.5
t0289,-47.5,299.5
t0290,-47.5,305.5
t0291,-47.5,312.5
t0292,-47.5,319.5
t0293,-47.5,325.5
t0294,-47.5,332.5
t0295,-47.5,339.5
t0296,-47.5,345.5
t0297,-47.5,352.5
t0298,-47.5,359.5
t0299,-42.5,5.5
t0300,-42.5,10.5
t0301,-42.5,15.5
t0302,-42.5,20.5
t0303,-42.5,25.5
t0304,-42.5,30.5
t0305,-42.5,35.5
t0306,-42.5,40.5
t0307,-42.5,45.5
t0308,-42.5,50.5
t0309,-42.5,55.5
t0310,-42.5,60.5
t0311,-42.5,65.5
t0312,-42.5,70.5
t0313,-42.5,75.5
t0314,-42.5,80.5
t0315,-42.5,85.5
t0316,-42.5,90.5
t0317,-42.5,95.5
t0318,-42.5,100.5
t0319,-42.5,105.5
t0320,-42.5,110.5
t0321,-42.5,115.5
t0322,-42.5,120.5
t0323,-42.5,125.5
t0324,-42.5,130.5
t0325,-42.5,135.5
t0326,-42.5,140.5
t0327,-42.5,145.5
t0328,-42.5,150.5
t0329,-42.5,155.5
t0330,-42.5,160.5
t0331,-42.5,165.5
t0332,-42.5,170.5
t0333,-42.5,175.5
t0334,-42.5,180.5
t0335,-42.5,185.5
t0336,-42.5,190.5
t0337,-42.5,195.5
t0338,-42.5,200.5
t0339,-42.5,205.5
t0340,-42.5,210.5
t0341,-42.5,215.5
t0342,-42.5,220.5
t0343,-42.5,225.5
t0344,-42.5,230.5
t0345,-42.5,235.5
t0346,-42.5,240.5
t0347,-42.5,245.5
t0348,-42.5,250.5
t0349,-42.5,255.5
t0350,-42.5,260.5
t0351,-42.5,265.5
t0352,-42.5,270.5
t0353,-42.5,275.5
t0354,-42.5,280.5
t0355,-42.5,285.5
t0356,-42.5,290.5
t0357,-42.5,295.5
t0358,-42.5,300.5
t0359,-42.5,305.5
t0360,-42.5,310.5
t0361,-42.5,315.5
t0362,-42.5,320.5
t0363,-42.5,325.5
t0364,-42.5,330.5
t0365,-42.5,335.5
t0366,-42.5,340.5
t0367,-42.5,345.5
t0368,-42.5,350.5
t0369,-42.5,355.5
t0370,-42.5,360.5
t0371,-37.5,5.5
t0372,-37.5,10.5
t0373,-37.5,15.5
t0374,-37.5,20.5
t0375,-37.5,25.5
t0376,-37.5,30.5
t0377,-37.5,35.5
t0378,-37.5,40.5
t0379,-37.5,45.5
t0380,-37.5,50.5
t0381,-37.5,55.5
t0382,-37.5,60.5
t0383,-37.5,65.5
t0384,-37.5,70.5
t0385,-37.5,75.5
t0386,-37.5,80.5
t0387,-37.5,85.5
t0388,-37.5,90.5
t0389,-37.5,95.5
t0390,-37.5,100.5
t0391,-37.5,105.5
t0392,-37.5,110.5
t0393,-37.5,115.5
t0394,-37.5,120.5
t0395,-37.5,125.5
t0396,-37.5,130.5
t0397,-37.5,135.5
t0398,-37.5,140.5
t0399,-37.5,145.5
t0400,-37.5,150.5
t0401,-37.5,155.5
t0402,-37.5,160.5
t0403,-37.5,165.5
t0404,-37.5,170.5
t0405,-37.5,175.5
t0406,-37.5,180.5
t0407,-37.5,185.5
t0408,-37.5,190.5
t0409,-37.5,195.5
t0410,-37.5,200.5
t0411,-37.5,205.5
t0412,-37.5,210.5
t0413,-37.5,215.5
t0414,-37.5,220.5
t0415,-37.5,225.5
t0416,-37.5,230.5
t0417,-37.5,235.5
t0418,-37.5,240.5
t0419,-37.5,245.5
t0420,-37.5,250.5
t0421,-37.5,255.5
t0422,-37.5,260.5
t0423,-37.5,265.5
t0424,-37.5,270.5
t0425,-37.5,275.5
t0426,-37.5,280.5
t0427,-37.5,285.5
t0428,-37.5,290.5
t0429,-37.5,295.5
t0430,-37.5,300.5
t0431,-37.5,305.5
t0432,-37.5,310.5
t0433,-37.5,315.5
t0434,-37.5,320.5
t0435,-37.5,325.5
t0436,-37.5,330.5
t0437,-37.5,335.5
t0438,-37.5,340.5
t0439,-37.5,345.5
t0440,-37.5,350.5
t0441,-37.5,355.5
t0442,-37.5,360.5
t0443,-32.5,5.5
t0444,-32.5,10.5
t0445,-32.5,15.5
t0446,-32.5,20.5
t0447,-32.5,25.5
t0448,-32.5,30.5
t0449,-32.5,35.5
t0450,-32.5,40.5
t0451,-32.5,45.5
t0452,-32.5,50.5
t0453,-32.5,55.5
t0454,-32.5,60.5
t0455,-32.5,65.5
t0456,-32.5,70.5
t0457,-32.5,75.5
