class,kind,source,tile_id,polygon_id,n_px,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58
olivine,medoid,hand,t0364,191,99,0.08728623390197754,0.15048763155937195,0.16287627816200256,0.17006725072860718,0.1886749267578125,0.18883678317070007,0.1903877705335617,0.18729905784130096,0.18583661317825317,0.1841118484735489,0.181878000497818,0.17556150257587433,0.17558908462524414,0.16808293759822845,0.17770534753799438,0.16852690279483795,0.17459481954574585,0.15217721462249756,0.17290806770324707,0.1761762648820877,0.17708462476730347,0.17656555771827698,0.17584864795207977,0.17734456062316895,0.17798395454883575,0.1784651279449463,0.17586649954319,0.17801839113235474,0.18515253067016602,0.1852656453847885,0.1859840601682663,0.18470467627048492,0.190198615193367,0.19395701587200165,0.19788189232349396,0.19214308261871338,0.19399039447307587,0.19175444543361664,0.1886688619852066,0.19120709598064423,0.19391107559204102,0.19148188829421997,0.19206833839416504,0.20034052431583405,0.19287452101707458,0.19330130517482758,0.1925119012594223,0.19152508676052094,0.1932985484600067,0.19269175827503204,0.19416750967502594,0.19179506599903107,0.19159285724163055,0.19337642192840576,0.19197626411914825,0.19500352442264557,0.1970156729221344
olivine,candidate2,hand,t0433,83,75,0.07517169415950775,0.1289997398853302,0.14067615568637848,0.15030349791049957,0.1654934138059616,0.1651301383972168,0.16586031019687653,0.16337916254997253,0.1607653945684433,0.16102901101112366,0.15762054920196533,0.15135450661182404,0.15186238288879395,0.1461239755153656,0.15515024960041046,0.1443086564540863,0.15094342827796936,0.12699772417545319,0.1502746343612671,0.15295590460300446,0.15347418189048767,0.15450754761695862,0.1526137739419937,0.15320298075675964,0.15420067310333252,0.15515054762363434,0.15283621847629547,0.1549769788980484,0.1602211594581604,0.1606248915195465,0.161295086145401,0.15953683853149414,0.16420568525791168,0.16507534682750702,0.1711357682943344,0.16550353169441223,0.16612492501735687,0.16502885520458221,0.16164112091064453,0.16621281206607819,0.16730068624019623,0.16500918567180634,0.165070578455925,0.17087219655513763,0.16527897119522095,0.16580067574977875,0.1649843454360962,0.16484099626541138,0.16661986708641052,0.16632044315338135,0.1676427274942398,0.1657010316848755,0.16544009745121002,0.16619369387626648,0.16576868295669556,0.1680702418088913,0.16645939648151398
olivine,candidate3,hand,t0240,44,89,0.08083812892436981,0.14090660214424133,0.15328270196914673,0.1591862291097641,0.18004381656646729,0.18093539774417877,0.18162961304187775,0.17856591939926147,0.17608822882175446,0.17562803626060486,0.1722967028617859,0.16650447249412537,0.16631102561950684,0.1591024249792099,0.1664176732301712,0.15726912021636963,0.16357822716236115,0.13192857801914215,0.16279864311218262,0.16692960262298584,0.16775555908679962,0.16757406294345856,0.1667087823152542,0.16717523336410522,0.16911599040031433,0.16982625424861908,0.1672634482383728,0.16931502521038055,0.17495942115783691,0.1754065454006195,0.1752946972846985,0.17521238327026367,0.17901337146759033,0.18119929730892181,0.18440507352352142,0.18034827709197998,0.18166141211986542,0.17952130734920502,0.1772209256887436,0.1804606169462204,0.18121571838855743,0.18000249564647675,0.17991098761558533,0.18844497203826904,0.18105481564998627,0.18112823367118835,0.1807224452495575,0.18088799715042114,0.18181566894054413,0.18210481107234955,0.18341831862926483,0.18172571063041687,0.18127377331256866,0.18252117931842804,0.18123655021190643,0.18426938354969025,0.18448448181152344
olivine,candidate4,hand,t0433,88,109,0.08678053319454193,0.14762388169765472,0.1612895280122757,0.17072539031505585,0.1897643655538559,0.18986468017101288,0.19169794023036957,0.18930022418498993,0.18645407259464264,0.1867692768573761,0.1835433691740036,0.17698100209236145,0.1778729110956192,0.16983336210250854,0.17673629522323608,0.16782613098621368,0.17502304911613464,0.1456807404756546,0.17372721433639526,0.1772245466709137,0.17811983823776245,0.17845134437084198,0.17768384516239166,0.1782463788986206,0.18006813526153564,0.18036657571792603,0.1776050627231598,0.17924104630947113,0.18452011048793793,0.18422949314117432,0.1844811737537384,0.18337827920913696,0.18781708180904388,0.19140051305294037,0.1966061145067215,0.19186414778232574,0.1929212063550949,0.19166423380374908,0.1872318536043167,0.1906142383813858,0.19104933738708496,0.19024451076984406,0.19095638394355774,0.1960548758506775,0.19477027654647827,0.1942601501941681,0.19396397471427917,0.19314201176166534,0.1940964311361313,0.19385118782520294,0.19543419778347015,0.19357532262802124,0.19338952004909515,0.19407419860363007,0.19317315518856049,0.1952773630619049,0.19560454785823822
olivine,candidate5,hand,t0436,109,60,0.08330774307250977,0.14664369821548462,0.15932723879814148,0.16404469311237335,0.18277083337306976,0.18416382372379303,0.18449953198432922,0.1823827177286148,0.18019352853298187,0.18008451163768768,0.17817378044128418,0.17137381434440613,0.17211908102035522,0.1647382527589798,0.17308132350444794,0.1645965725183487,0.16961416602134705,0.12650831043720245,0.16825419664382935,0.17204782366752625,0.17331194877624512,0.1730404943227768,0.17246903479099274,0.17280831933021545,0.17392441630363464,0.1746196299791336,0.1715637743473053,0.17380467057228088,0.18156901001930237,0.17992065846920013,0.1801089197397232,0.17883585393428802,0.18308182060718536,0.1860523372888565,0.18934011459350586,0.1836855560541153,0.18654516339302063,0.1849430501461029,0.18075241148471832,0.18421071767807007,0.18588215112686157,0.18413259088993073,0.18501894176006317,0.19080311059951782,0.18654438853263855,0.1868731826543808,0.1865009218454361,0.18621915578842163,0.18778668344020844,0.18833090364933014,0.1890147179365158,0.18734923005104065,0.18649765849113464,0.18756361305713654,0.18681176006793976,0.1903047263622284,0.18966065347194672
olivine,discriminative,reassigned,t1322,1437827028,106,0.07754632830619812,0.11890677362680435,0.13030506670475006,0.1277892291545868,0.13704267144203186,0.13001245260238647,0.1252974569797516,0.11980047821998596,0.11580230295658112,0.11533455550670624,0.11184597760438919,0.10618361830711365,0.10505029559135437,0.09962455928325653,0.10840026289224625,0.09726452082395554,0.10303433239459991,0.07666333764791489,0.09988976269960403,0.09909652173519135,0.0962393581867218,0.09629089385271072,0.09582649916410446,0.09578374773263931,0.09538470208644867,0.09592773020267487,0.09304872900247574,0.09408847987651825,0.09833451360464096,0.10149111598730087,0.10534118860960007,0.10523394495248795,0.11660587787628174,0.13082650303840637,0.137044295668602,0.13931865990161896,0.14943407475948334,0.1507813185453415,0.14938703179359436,0.15069790184497833,0.1540547013282776,0.1519012302160263,0.15144450962543488,0.15909963846206665,0.15495721995830536,0.15435166656970978,0.15430060029029846,0.15270158648490906,0.15306217968463898,0.15182669460773468,0.1514006406068802,0.1486901342868805,0.14732864499092102,0.14980748295783997,0.14902330935001373,0.15087294578552246,0.1504117250442505
lcp,medoid,hand,t0603,29,130,0.08220446109771729,0.14133232831954956,0.15623554587364197,0.16139726340770721,0.17914806306362152,0.17984822392463684,0.1815117597579956,0.1785089373588562,0.17655792832374573,0.1742008924484253,0.17194406688213348,0.1658930778503418,0.16625964641571045,0.16010351479053497,0.17082183063030243,0.15782590210437775,0.16766688227653503,0.1480243057012558,0.1662631630897522,0.1701488196849823,0.17078746855258942,0.1706065535545349,0.1698598563671112,0.17051929235458374,0.1721821129322052,0.17163188755512238,0.16804257035255432,0.16937091946601868,0.17356202006340027,0.17221759259700775,0.1712898463010788,0.17002469301223755,0.17227324843406677,0.17173056304454803,0.17540891468524933,0.16869159042835236,0.16938333213329315,0.1668427586555481,0.16178777813911438,0.16533924639225006,0.16566571593284607,0.166069895029068,0.16613595187664032,0.17019210755825043,0.1685027927160263,0.167907252907753,0.16792507469654083,0.16752493381500244,0.1687636822462082,0.1689687967300415,0.17111533880233765,0.1694575846195221,0.16896754503250122,0.16969513893127441,0.1696150302886963,0.17235709726810455,0.1731572300195694
lcp,candidate2,hand,t0525,242,568,0.08359013497829437,0.14567631483078003,0.1565864086151123,0.16676214337348938,0.182722806930542,0.18314343690872192,0.18512248992919922,0.18199767172336578,0.1798449456691742,0.17706741392612457,0.17466388642787933,0.1686209738254547,0.16768580675125122,0.16219693422317505,0.1716470718383789,0.16068801283836365,0.16817495226860046,0.15909968316555023,0.16748091578483582,0.17141905426979065,0.17189830541610718,0.17236892879009247,0.17136792838573456,0.17186063528060913,0.17319431900978088,0.17337669432163239,0.16907091438770294,0.17056766152381897,0.17612971365451813,0.17483769357204437,0.17418764531612396,0.17303666472434998,0.17451021075248718,0.17430290579795837,0.17931857705116272,0.17243553698062897,0.1719178408384323,0.16889405250549316,0.16394135355949402,0.16779740154743195,0.16787385940551758,0.16754065454006195,0.16594401001930237,0.17350295186042786,0.1692688763141632,0.1697927713394165,0.1695878952741623,0.1690249890089035,0.17031033337116241,0.17066672444343567,0.17220662534236908,0.17073051631450653,0.1701684445142746,0.1713932603597641,0.1708848774433136,0.1735243946313858,0.17383112013339996
lcp,candidate3,hand,t0672,22,91,0.08678007125854492,0.14361855387687683,0.1600855141878128,0.16352279484272003,0.18243791162967682,0.18337006866931915,0.18545562028884888,0.18348467350006104,0.17905360460281372,0.1794929951429367,0.175992950797081,0.17009961605072021,0.17144538462162018,0.16194164752960205,0.1741507202386856,0.157017782330513,0.1728242188692093,0.139783576130867,0.17086386680603027,0.1738007664680481,0.17416009306907654,0.1745973825454712,0.17364001274108887,0.17397384345531464,0.1750749796628952,0.1752900928258896,0.17217764258384705,0.1730404496192932,0.17833015322685242,0.1754394918680191,0.17419515550136566,0.17342588305473328,0.17416280508041382,0.17388874292373657,0.17785364389419556,0.1726725548505783,0.17192795872688293,0.170012429356575,0.16629432141780853,0.16871775686740875,0.16815003752708435,0.16794034838676453,0.1683201789855957,0.17124399542808533,0.1704801768064499,0.1716776192188263,0.1698487401008606,0.16955578327178955,0.17078334093093872,0.17108680307865143,0.17223919928073883,0.17106328904628754,0.17069268226623535,0.17153142392635345,0.17102496325969696,0.17371730506420135,0.1742565631866455
lcp,candidate4,hand,t0505,62,91,0.07748688012361526,0.1304835081100464,0.143768772482872,0.15047523379325867,0.1631421148777008,0.162942036986351,0.16437485814094543,0.16094841063022614,0.15823590755462646,0.15563420951366425,0.15291769802570343,0.14785471558570862,0.1475326269865036,0.14151448011398315,0.15097810328006744,0.14100293815135956,0.14883148670196533,0.1060655415058136,0.1486164629459381,0.1523953378200531,0.15230777859687805,0.15257251262664795,0.15195442736148834,0.15255478024482727,0.1537557691335678,0.15378901362419128,0.15150845050811768,0.152079239487648,0.15646304190158844,0.15428248047828674,0.1525266319513321,0.15151198208332062,0.15407712757587433,0.15275445580482483,0.15595434606075287,0.15049709379673004,0.15021741390228271,0.14842066168785095,0.1448678821325302,0.14725124835968018,0.14884325861930847,0.147433340549469,0.14693041145801544,0.1534617692232132,0.14917601644992828,0.14932242035865784,0.14937222003936768,0.14922977983951569,0.1502612829208374,0.15053613483905792,0.15231429040431976,0.1507488340139389,0.15081989765167236,0.1516096144914627,0.15133975446224213,0.15444570779800415,0.15568819642066956
