class,source,tile_id,polygon_id,n_px,confidence_weight,degenerate,own_angle_deg,nearest_other_class,nearest_other_angle_deg,margin_deg,suspect
alteration,tag,t1159,1600979008,7,0.5,True,13.78588551515537,junk,5.478421269521708,-8.30746424563366,True
alteration,tag,t1159,801889504,624,0.5,False,14.935938767460215,junk,6.94550045176185,-7.9904383156983645,True
alteration,tag,t1160,82877845,46,0.5,False,11.893861606255188,junk,4.0864108970973465,-7.807450709157841,True
alteration,tag,t1160,1248938873,12,0.5,False,10.547652695587306,junk,2.847544031945577,-7.700108663641729,True
alteration,tag,t1160,1192594267,9,0.5,True,11.357315635924733,junk,3.699465004906696,-7.657850631018038,True
alteration,tag,t1159,148205312,489,0.5,False,15.227980914392859,junk,7.794667874402233,-7.433313039990626,True
alteration,tag,t1160,226399413,482,0.5,False,11.383385892726603,junk,4.019042008671736,-7.3643438840548665,True
alteration,tag,t1160,4147629625,51,0.5,False,11.47824675523731,junk,4.252076361380384,-7.2261703938569255,True
alteration,tag,t1160,3804725248,11,0.5,False,10.354137044922268,junk,3.181871369901586,-7.172265675020682,True
junk,tag,t1370,3044974737,45,1.0,False,10.516025601063768,plagioclase,3.675034241136007,-6.840991359927761,True
olivine,hand,t0360,13,411,1.0,False,36.43178439486103,junk,29.61162839959794,-6.820155995263093,True
olivine,hand,t0360,26,540,1.0,False,37.49980163185297,junk,30.687106255734864,-6.8126953761181035,True
olivine,hand,t0360,22,41,1.0,False,36.411707501640876,junk,29.600430341159374,-6.811277160481502,True
olivine,hand,t0360,16,73,1.0,False,36.3795099108207,junk,29.71873655932208,-6.660773351498623,True
alteration,tag,t1160,1632260864,2216,0.5,False,11.426606742785811,junk,4.821078328204961,-6.60552841458085,True
olivine,hand,t0360,25,67,1.0,False,36.36804829894951,junk,29.79693097221626,-6.571117326733251,True
bland,reassigned,t1101,3112597758,436,1.0,False,10.693900319188133,alteration,4.131682154509991,-6.562218164678142,True
bland,reassigned,t1030,2677539686,70,1.0,False,9.76073899463792,alteration,3.2509874765794584,-6.5097515180584615,True
bland,reassigned,t1028,638435218,66,1.0,False,12.447798402764743,olivine,5.94260926276464,-6.505189140000103,True
bland,reassigned,t1030,632208560,2344,1.0,False,9.980869461005478,alteration,3.5126950141629143,-6.468174446842563,True
bland,reassigned,t1030,3881950828,29,1.0,False,10.790495246550153,olivine,4.340922411370786,-6.449572835179366,True
olivine,hand,t0360,24,90,1.0,False,36.38461565670821,junk,29.944726270545562,-6.439889386162651,True
olivine,hand,t0360,10,27,1.0,False,36.36258253673557,junk,29.925002783070415,-6.437579753665158,True
olivine,hand,t0360,8,569,1.0,False,36.35415205011527,junk,29.92007468091431,-6.434077369200956,True
bland,reassigned,t1316,3522647741,91,1.0,False,10.997363669369973,olivine,4.588543177042346,-6.408820492327627,True
