tile,path,old_valid_px,affected_px,affected_pct,max_raw_value
t1389,/mnt/mars-gis/CRISM/MRDR/mc13/t1389_mrral_30n053_0327_4.img,2064525,94846,4.594083384797956,2374.16552734375
t1030,/mnt/mars-gis/CRISM/MRDR/mc13/t1030_mrral_05n058_0327_4.img,2171498,58872,2.7111238416982193,3913.3310546875
t1244,/mnt/mars-gis/CRISM/MRDR/mc13/t1244_mrral_20n048_0327_4.img,2049246,53686,2.6197928408790356,196327620608.0
t1028,/mnt/mars-gis/CRISM/MRDR/mc13/t1028_mrral_05n048_0327_4.img,2057524,53624,2.606239343988211,2208.935302734375
t1323,/mnt/mars-gis/CRISM/MRDR/mc13/t1323_mrral_25n083_0327_4.img,2187173,52706,2.409777370148589,1187.7364501953125
t1251,/mnt/mars-gis/CRISM/MRDR/mc13/t1251_mrral_20n083_0327_4.img,1976440,38731,1.9596344943433648,932.1698608398438
t1162,/mnt/mars-gis/CRISM/MRDR/mc11/t1162_mrral_10n358_0327_4.img,1183342,22936,1.9382393255711368,776.3690795898438
t1155,/mnt/mars-gis/CRISM/MRDR/mc11/t1155_mrral_10n323_0327_4.img,1810606,33918,1.8732954601939904,401.9015808105469
t1101,/mnt/mars-gis/CRISM/MRDR/mc13/t1101_mrral_10n053_0327_4.img,2350547,38451,1.635831999955755,24278433792.0
t1100,/mnt/mars-gis/CRISM/MRDR/mc13/t1100_mrral_10n048_0327_4.img,1941626,31179,1.6058190403301151,673.3086547851562
t1029,/mnt/mars-gis/CRISM/MRDR/mc13/t1029_mrral_05n053_0327_4.img,2371339,35922,1.5148403496927263,296.7245788574219
t1172,/mnt/mars-gis/CRISM/MRDR/mc13/t1172_mrral_15n048_0327_4.img,1926326,24202,1.2563813186345405,752.5949096679688
t1395,/mnt/mars-gis/CRISM/MRDR/mc13/t1395_mrral_30n083_0327_4.img,2187463,25462,1.1639968310321134,5037.43994140625
t1174,/mnt/mars-gis/CRISM/MRDR/mc13/t1174_mrral_15n058_0327_4.img,1912621,21093,1.1028321868263498,375.47265625
t1450,/mnt/mars-gis/CRISM/MRDR/mc11/t1450_mrral_30n358_0327_4.img,2027696,21017,1.0364965951503577,460.8544006347656
t1394,/mnt/mars-gis/CRISM/MRDR/mc13/t1394_mrral_30n078_0327_4.img,1609977,15998,0.9936787916846017,487.7779846191406
t1388,/mnt/mars-gis/CRISM/MRDR/mc13/t1388_mrral_30n048_0327_4.img,2015992,19648,0.9746070420914369,798.7723999023438
t1246,/mnt/mars-gis/CRISM/MRDR/mc13/t1246_mrral_20n058_0327_4.img,1766557,14882,0.8424296527086303,1743.7811279296875
t1316,/mnt/mars-gis/CRISM/MRDR/mc13/t1316_mrral_25n048_0327_4.img,1962437,15568,0.7932993517753691,803.8195190429688
t1090,/mnt/mars-gis/CRISM/MRDR/mc11/t1090_mrral_05n358_0327_4.img,1653349,12384,0.7490251604470683,665.3446655273438
t1245,/mnt/mars-gis/CRISM/MRDR/mc13/t1245_mrral_20n053_0327_4.img,2291231,15854,0.6919424536417323,289.94805908203125
t1085,/mnt/mars-gis/CRISM/MRDR/mc11/t1085_mrral_05n333_0327_4.img,1823365,12081,0.6625661894354669,691.8782958984375
t1173,/mnt/mars-gis/CRISM/MRDR/mc13/t1173_mrral_15n053_0327_4.img,2227676,14483,0.6501394278162533,391.75897216796875
t1102,/mnt/mars-gis/CRISM/MRDR/mc13/t1102_mrral_10n058_0327_4.img,2134060,11795,0.5527023607583667,327.4224853515625
t1305,/mnt/mars-gis/CRISM/MRDR/mc11/t1305_mrral_20n353_0327_4.img,1364737,7062,0.5174623388975311,353.49444580078125
t1303,/mnt/mars-gis/CRISM/MRDR/mc11/t1303_mrral_20n343_0327_4.img,1972891,9792,0.4963274707016252,404.0796813964844
t1108,/mnt/mars-gis/CRISM/MRDR/mc13/t1108_mrral_10n088_0327_4.img,1921151,8764,0.4561848600136064,698.2879638671875
t1252,/mnt/mars-gis/CRISM/MRDR/mc13/t1252_mrral_20n088_0327_4.img,2079796,8254,0.396865846458018,305.45465087890625
t1154,/mnt/mars-gis/CRISM/MRDR/mc11/t1154_mrral_10n318_0327_4.img,2003548,6162,0.30755439849706623,382.6584777832031
t1317,/mnt/mars-gis/CRISM/MRDR/mc13/t1317_mrral_25n053_0327_4.img,2121159,5632,0.2655152206883124,309.15069580078125
t1156,/mnt/mars-gis/CRISM/MRDR/mc11/t1156_mrral_10n328_0327_4.img,1697788,3790,0.22323164022834419,154.700927734375
t1082,/mnt/mars-gis/CRISM/MRDR/mc11/t1082_mrral_05n318_0327_4.img,2070374,4188,0.2022822929576975,316.77056884765625
t1036,/mnt/mars-gis/CRISM/MRDR/mc13/t1036_mrral_05n088_0327_4.img,1896615,3802,0.20046240275438082,386.78851318359375
t1324,/mnt/mars-gis/CRISM/MRDR/mc13/t1324_mrral_25n088_0327_4.img,2165947,3722,0.1718416932639626,617.9412841796875
t1396,/mnt/mars-gis/CRISM/MRDR/mc13/t1396_mrral_30n088_0327_4.img,2123736,3571,0.16814707666112927,544.8390502929688
t1318,/mnt/mars-gis/CRISM/MRDR/mc13/t1318_mrral_25n058_0327_4.img,1863907,2972,0.15945001547824006,2549.55615234375
t1228,/mnt/mars-gis/CRISM/MRDR/mc11/t1228_mrral_15n328_0327_4.img,1553588,1983,0.12764001781682144,236.7626953125
t1247,/mnt/mars-gis/CRISM/MRDR/mc13/t1247_mrral_20n063_0327_4.img,1985567,2334,0.11754828721468477,684.2628173828125
t1179,/mnt/mars-gis/CRISM/MRDR/mc13/t1179_mrral_15n083_0327_4.img,1776163,1911,0.10759147668316478,212.16587829589844
t1319,/mnt/mars-gis/CRISM/MRDR/mc13/t1319_mrral_25n063_0327_4.img,1779942,1775,0.09972235050355574,155.296630859375
t0238,/mnt/mars-gis/CRISM/MRDR/mc26/t0238_mrral_55s317_0327_4.img,1141103,1093,0.09578451726093087,143.10067749023438
t1088,/mnt/mars-gis/CRISM/MRDR/mc11/t1088_mrral_05n348_0327_4.img,1712385,1542,0.09004984276316366,3558.27001953125
t1390,/mnt/mars-gis/CRISM/MRDR/mc13/t1390_mrral_30n058_0327_4.img,1742100,1501,0.08616038114918777,2920.19091796875
t1157,/mnt/mars-gis/CRISM/MRDR/mc11/t1157_mrral_10n333_0327_4.img,1864284,1525,0.0818008415026895,265.1167907714844
t1391,/mnt/mars-gis/CRISM/MRDR/mc13/t1391_mrral_30n063_0327_4.img,1762252,1224,0.0694565816920622,377.04510498046875
t1234,/mnt/mars-gis/CRISM/MRDR/mc11/t1234_mrral_15n358_0327_4.img,1029014,698,0.06783192454135707,105.67425537109375
t1233,/mnt/mars-gis/CRISM/MRDR/mc11/t1233_mrral_15n353_0327_4.img,1060707,684,0.06448529141412285,236.80099487304688
t1229,/mnt/mars-gis/CRISM/MRDR/mc11/t1229_mrral_15n333_0327_4.img,2028060,1283,0.06326242813328994,205.068115234375
t1086,/mnt/mars-gis/CRISM/MRDR/mc11/t1086_mrral_05n338_0327_4.img,1647795,978,0.05935204318498357,2627.130859375
t1300,/mnt/mars-gis/CRISM/MRDR/mc11/t1300_mrral_20n328_0327_4.img,1589200,816,0.051346589478983136,715.273681640625
t1160,/mnt/mars-gis/CRISM/MRDR/mc11/t1160_mrral_10n348_0327_4.img,1686656,655,0.03883423768687865,1417.002685546875
t1161,/mnt/mars-gis/CRISM/MRDR/mc11/t1161_mrral_10n353_0327_4.img,1135579,424,0.03733778099101868,394.7610778808594
t0439,/mnt/mars-gis/CRISM/MRDR/mc26/t0439_mrral_40s343_0327_4.img,1782562,600,0.03365941829793297,1.9545608758926392
t1444,/mnt/mars-gis/CRISM/MRDR/mc11/t1444_mrral_30n328_0327_4.img,1996252,658,0.03296177035765024,213.4154510498047
t0580,/mnt/mars-gis/CRISM/MRDR/mc26/t0580_mrral_30s328_0327_4.img,1176610,383,0.032551142689591285,2.7778139114379883
t0511,/mnt/mars-gis/CRISM/MRDR/mc26/t0511_mrral_35s343_0327_4.img,1921838,574,0.029867241671774625,2.00315260887146
t1449,/mnt/mars-gis/CRISM/MRDR/mc11/t1449_mrral_30n353_0327_4.img,1550240,405,0.026124987098771802,257.0203552246094
t1180,/mnt/mars-gis/CRISM/MRDR/mc13/t1180_mrral_15n088_0327_4.img,2114961,452,0.021371552477799826,299.26080322265625
t1393,/mnt/mars-gis/CRISM/MRDR/mc13/t1393_mrral_30n073_0327_4.img,1698852,357,0.021014190759406942,1.2886762619018555
t1372,/mnt/mars-gis/CRISM/MRDR/mc11/t1372_mrral_25n328_0327_4.img,1938578,293,0.015114171315263044,207.41964721679688
t1322,/mnt/mars-gis/CRISM/MRDR/mc13/t1322_mrral_25n078_0327_4.img,1731961,203,0.011720818193943166,447.3315124511719
t0583,/mnt/mars-gis/CRISM/MRDR/mc26/t0583_mrral_30s343_0327_4.img,2037443,215,0.010552442448696724,1.8509039878845215
t1378,/mnt/mars-gis/CRISM/MRDR/mc11/t1378_mrral_25n358_0327_4.img,1686949,166,0.009840250060908776,103.02674865722656
t1392,/mnt/mars-gis/CRISM/MRDR/mc13/t1392_mrral_30n068_0327_4.img,1783991,163,0.009136817394258154,1.2258989810943604
t1375,/mnt/mars-gis/CRISM/MRDR/mc11/t1375_mrral_25n343_0327_4.img,2072448,188,0.009071397690074734,172.23931884765625
t1035,/mnt/mars-gis/CRISM/MRDR/mc13/t1035_mrral_05n083_0327_4.img,2078522,81,0.0038969998874200033,99.18745422363281
t1448,/mnt/mars-gis/CRISM/MRDR/mc11/t1448_mrral_30n348_0327_4.img,1912771,65,0.0033982112861393235,1.0264124870300293
t1376,/mnt/mars-gis/CRISM/MRDR/mc11/t1376_mrral_25n348_0327_4.img,1719625,55,0.0031983717380242786,1.5434515476226807
t1083,/mnt/mars-gis/CRISM/MRDR/mc11/t1083_mrral_05n323_0327_4.img,2003866,44,0.0021957556044166627,97.0190658569336
t1304,/mnt/mars-gis/CRISM/MRDR/mc11/t1304_mrral_20n348_0327_4.img,1922042,41,0.00213314797491418,730.6749267578125
t1107,/mnt/mars-gis/CRISM/MRDR/mc13/t1107_mrral_10n083_0327_4.img,1729010,34,0.0019664432247355423,912.8644409179688
t0441,/mnt/mars-gis/CRISM/MRDR/mc26/t0441_mrral_40s353_0327_4.img,1636790,21,0.001282999040805479,1.1964236497879028
t1447,/mnt/mars-gis/CRISM/MRDR/mc11/t1447_mrral_30n343_0327_4.img,1753271,14,0.0007985074754558764,1.4562311172485352
t0432,/mnt/mars-gis/CRISM/MRDR/mc26/t0432_mrral_40s308_0327_4.img,1122175,6,0.0005346759640875977,1.0650477409362793
t0182,/mnt/mars-gis/CRISM/MRDR/mc26/t0182_mrral_60s303_0327_4.img,757425,4,0.0005281050929134898,1.7360186576843262
t1084,/mnt/mars-gis/CRISM/MRDR/mc11/t1084_mrral_05n328_0327_4.img,1851964,8,0.0004319738396642699,2.465080499649048
t0240,/mnt/mars-gis/CRISM/MRDR/mc26/t0240_mrral_55s330_0327_4.img,1187085,5,0.00042119982983526873,1.3595086336135864
t1320,/mnt/mars-gis/CRISM/MRDR/mc13/t1320_mrral_25n068_0327_4.img,1987267,8,0.00040256291680987,1.101200819015503
t0368,/mnt/mars-gis/CRISM/MRDR/mc26/t0368_mrral_45s348_0327_4.img,1552468,6,0.00038648139607386434,6.097935676574707
t0510,/mnt/mars-gis/CRISM/MRDR/mc26/t0510_mrral_35s338_0327_4.img,1701988,6,0.0003525289249982961,4.114287853240967
t0506,/mnt/mars-gis/CRISM/MRDR/mc26/t0506_mrral_35s318_0327_4.img,1435994,5,0.0003481908698782864,1.1803419589996338
t0505,/mnt/mars-gis/CRISM/MRDR/mc26/t0505_mrral_35s313_0327_4.img,1733511,6,0.0003461183690210215,1.231816053390503
t0185,/mnt/mars-gis/CRISM/MRDR/mc26/t0185_mrral_60s323_0327_4.img,1191749,4,0.00033564114591243623,4.6157121658325195
t1370,/mnt/mars-gis/CRISM/MRDR/mc11/t1370_mrral_25n318_0327_4.img,2156231,7,0.0003246405417601361,1.8206567764282227
t0579,/mnt/mars-gis/CRISM/MRDR/mc26/t0579_mrral_30s323_0327_4.img,1577449,5,0.0003169674582189345,1.5390344858169556
t1232,/mnt/mars-gis/CRISM/MRDR/mc11/t1232_mrral_15n348_0327_4.img,1919660,6,0.0003125553483429357,1.1687473058700562
t1230,/mnt/mars-gis/CRISM/MRDR/mc11/t1230_mrral_15n338_0327_4.img,1757434,5,0.00028450570547741764,1.2067959308624268
t1089,/mnt/mars-gis/CRISM/MRDR/mc11/t1089_mrral_05n353_0327_4.img,1064233,3,0.00028189315685568856,1.1392788887023926
t1321,/mnt/mars-gis/CRISM/MRDR/mc13/t1321_mrral_25n073_0327_4.img,1792179,5,0.00027898998928120464,1.0848652124404907
t1159,/mnt/mars-gis/CRISM/MRDR/mc11/t1159_mrral_10n343_0327_4.img,1478848,4,0.00027048080668195786,1.3925433158874512
t1443,/mnt/mars-gis/CRISM/MRDR/mc11/t1443_mrral_30n323_0327_4.img,1861914,5,0.0002685408670862349,2.497488021850586
t0433,/mnt/mars-gis/CRISM/MRDR/mc26/t0433_mrral_40s313_0327_4.img,1519666,4,0.0002632157329307887,3.5236551761627197
t0440,/mnt/mars-gis/CRISM/MRDR/mc26/t0440_mrral_40s348_0327_4.img,1599222,4,0.0002501216216385217,1.2433249950408936
t1031,/mnt/mars-gis/CRISM/MRDR/mc13/t1031_mrral_05n063_0327_4.img,2028178,5,0.0002465266855276016,1.2008980512619019
t0578,/mnt/mars-gis/CRISM/MRDR/mc26/t0578_mrral_30s318_0327_4.img,1668212,4,0.00023977767813683154,1.4404714107513428
t0294,/mnt/mars-gis/CRISM/MRDR/mc26/t0294_mrral_50s330_0327_4.img,1285064,3,0.0002334514078676237,2.28570294380188
t0364,/mnt/mars-gis/CRISM/MRDR/mc26/t0364_mrral_45s328_0327_4.img,866538,2,0.00023080349621136062,1.1574033498764038
t0586,/mnt/mars-gis/CRISM/MRDR/mc26/t0586_mrral_30s358_0327_4.img,1769204,4,0.00022609037736744887,1.9634007215499878
t0361,/mnt/mars-gis/CRISM/MRDR/mc26/t0361_mrral_45s313_0327_4.img,1330463,3,0.0002254854137243952,1.8104243278503418
t0366,/mnt/mars-gis/CRISM/MRDR/mc26/t0366_mrral_45s338_0327_4.img,1339263,3,0.00022400379910443282,1.0535157918930054
t1299,/mnt/mars-gis/CRISM/MRDR/mc11/t1299_mrral_20n323_0327_4.img,1797650,4,0.00022251272494645789,1.1892979145050049
t0576,/mnt/mars-gis/CRISM/MRDR/mc26/t0576_mrral_30s308_0327_4.img,1401486,3,0.00021405850647098865,1.1935545206069946
t1231,/mnt/mars-gis/CRISM/MRDR/mc11/t1231_mrral_15n343_0327_4.img,1455020,3,0.0002061827328833968,1.1909834146499634
