tile_id,mc_dir,max_zero_frac_ge2200,flagged,detail
t1487,mc02,0.000,,
t1488,mc02,0.000,,
t1489,mc02,0.000,,
t1490,mc02,0.000,,
t1491,mc02,0.000,,
t1492,mc02,0.000,,
t1493,mc02,0.000,,
t1494,mc02,0.000,,
t1495,mc02,0.000,,
t1496,mc02,0.000,,
t1497,mc02,0.000,,
t1498,mc02,0.000,,
t1559,mc02,0.000,,
t1560,mc02,0.000,,
t1561,mc02,0.000,,
t1562,mc02,0.000,,
t1563,mc02,0.000,,
t1564,mc02,0.000,,
t1565,mc02,0.000,,
t1566,mc02,0.000,,
t1567,mc02,0.000,,
t1568,mc02,0.000,,
t1569,mc02,0.000,,
t1570,mc02,0.000,,
t1631,mc02,0.000,,
t1632,mc02,0.000,,
t1633,mc02,0.000,,
t1634,mc02,0.000,,
t1635,mc02,0.000,,
t1636,mc02,0.000,,
t1637,mc02,0.000,,
t1638,mc02,0.000,,
t1639,mc02,0.000,,
t1640,mc02,0.000,,
t1641,mc02,0.000,,
t1642,mc02,0.000,,
t1694,mc02,0.000,,
t1695,mc02,0.000,,
t1696,mc02,0.000,,
t1697,mc02,0.000,,
t1698,mc02,0.000,,
t1699,mc02,0.000,,
t1700,mc02,0.000,,
t1701,mc02,0.000,,
t1702,mc02,0.000,,
t1748,mc02,0.000,,
t1749,mc02,0.000,,
t1750,mc02,0.000,,
t1751,mc02,0.000,,
t1752,mc02,0.000,,
t1753,mc02,0.000,,
t1754,mc02,0.000,,
t1755,mc02,0.000,,
t1756,mc02,0.000,,
t1802,mc02,0.000,,
t1803,mc02,0.000,,
t1804,mc02,0.000,,
t1805,mc02,0.000,,
t1806,mc02,0.000,,
t1807,mc02,0.000,,
t1808,mc02,0.000,,
t1809,mc02,0.000,,
t1810,mc02,0.000,,
t1847,mc02,0.000,,
t1848,mc02,0.000,,
t1849,mc02,0.000,,
t1850,mc02,0.000,,
t1851,mc02,0.000,,
t1852,mc02,0.000,,
t1499,mc03,0.000,,
t1500,mc03,0.000,,
t1501,mc03,0.000,,
t1502,mc03,0.000,,
t1503,mc03,0.000,,
t1504,mc03,0.000,,
t1505,mc03,0.000,,
t1506,mc03,0.000,,
t1507,mc03,0.000,,
t1508,mc03,0.000,,
t1509,mc03,0.000,,
t1510,mc03,0.000,,
t1571,mc03,0.000,,
t1572,mc03,0.000,,
t1573,mc03,0.000,,
t1574,mc03,0.000,,
t1575,mc03,0.000,,
t1576,mc03,0.000,,
t1577,mc03,0.000,,
t1578,mc03,0.000,,
t1579,mc03,0.000,,
t1580,mc03,0.000,,
t1581,mc03,0.000,,
t1582,mc03,0.000,,
t1643,mc03,0.000,,
t1644,mc03,0.000,,
t1645,mc03,0.000,,
t1646,mc03,0.000,,
t1647,mc03,0.000,,
t1648,mc03,0.000,,
t1649,mc03,0.000,,
t1650,mc03,0.000,,
t1651,mc03,0.000,,
t1652,mc03,0.000,,
t1653,mc03,0.000,,
t1654,mc03,0.000,,
t1703,mc03,0.000,,
t1704,mc03,0.000,,
t1705,mc03,0.000,,
t1706,mc03,0.000,,
t1707,mc03,0.000,,
t1708,mc03,0.000,,
t1709,mc03,0.000,,
t1710,mc03,0.000,,
t1711,mc03,0.000,,
t1757,mc03,0.000,,
t1758,mc03,0.000,,
t1759,mc03,0.000,,
t1760,mc03,0.000,,
t1761,mc03,0.000,,
t1762,mc03,0.000,,
t1763,mc03,0.000,,
t1764,mc03,0.000,,
t1765,mc03,0.000,,
t1811,mc03,0.000,,
t1812,mc03,0.000,,
t1813,mc03,0.000,,
t1814,mc03,0.000,,
t1815,mc03,0.000,,
t1816,mc03,0.000,,
t1817,mc03,0.000,,
t1818,mc03,0.000,,
t1819,mc03,0.000,,
t1853,mc03,0.000,,
t1854,mc03,0.000,,
t1855,mc03,0.000,,
t1856,mc03,0.000,,
t1857,mc03,0.000,,
t1858,mc03,0.000,,
t1511,mc04,0.000,,
t1512,mc04,0.000,,
t1513,mc04,0.000,,
t1514,mc04,0.000,,
t1515,mc04,0.000,,
t1516,mc04,0.000,,
t1517,mc04,0.000,,
